27		-1
1		1
13		-1
27		-1
1		2
13		-1
27		-1
1		3
13		-1
31		-1
1		4
13		-1
4		-1
1		1
13		-1
8		-1
21		-1
1		1
28		5
2		-1
6		-1
30		6
13		-1
12		-1
28		5
13		-1
3		-1
1		3
7		-1
28		5
13		-1
11		-1
21		-1
1		3
1		1
2		-1
1		2
7		-1
28		5
13		-1
1		4
7		-1
32		-1
13		-1
11		-1
19		-1
24		-1
1		2
17		-1
1		3
28		7
1		4
2		-1
8		-1
23		-1
18		-1
1		3
1		2
28		8
2		-1
1		4
7		-1
32		-1
13		-1
3		-1
1		2
7		-1
14		-1
1		2
28		5
13		-1
3		-1
8		-1
1		4
2		-1
5		-1
1		3
5		-1
30		9
3		-1
1		3
7		-1
14		-1
1		3
28		5
13		-1
3		-1
12		-1
28		8
13		-1
